industryID,reminderType,dueDate,dueStatus,recievedDate,applicationID,nxtRemDate,officeID
543,1,2016-04-11,0,NULL,24087,NULL,6
544,1,2015-07-11,0,NULL,540,NULL,NULL
546,1,2015-07-11,0,NULL,542,NULL,NULL
548,1,2016-06-20,0,NULL,24092,NULL,6
549,1,2014-07-01,0,NULL,544,NULL,NULL
550,1,2012-08-23,0,NULL,545,NULL,NULL
551,1,2016-08-15,0,NULL,24328,NULL,6
552,1,2015-07-16,0,NULL,562,NULL,NULL
553,1,2015-03-18,0,NULL,548,NULL,NULL
554,1,2015-06-16,0,NULL,549,NULL,NULL
555,1,2015-07-16,0,NULL,550,NULL,NULL
556,1,2016-07-16,0,NULL,24139,NULL,6
557,1,2015-07-16,0,NULL,552,NULL,NULL
558,1,2015-07-16,0,NULL,553,NULL,NULL
560,1,2015-07-16,0,NULL,555,NULL,NULL
561,1,2015-07-16,0,NULL,556,NULL,NULL
562,1,2015-11-10,0,NULL,23228,NULL,6
563,1,2015-07-16,0,NULL,558,NULL,NULL
564,1,2015-07-16,0,NULL,559,NULL,NULL
568,1,2015-07-15,0,NULL,565,NULL,NULL
570,1,2015-07-16,0,NULL,566,NULL,NULL
573,1,2015-07-16,0,NULL,569,NULL,NULL
574,1,2016-06-10,0,NULL,571,NULL,6
576,1,2015-07-15,0,NULL,572,NULL,NULL
577,1,2016-06-10,0,NULL,573,NULL,6
578,1,2015-07-15,0,NULL,574,NULL,NULL
580,1,2015-07-15,0,NULL,576,NULL,NULL
582,1,2015-07-15,0,NULL,577,NULL,NULL
583,1,2015-07-15,0,NULL,579,NULL,NULL
584,1,2015-07-15,0,NULL,580,NULL,NULL
587,1,2015-07-15,0,NULL,583,NULL,NULL
588,1,2015-07-15,0,NULL,584,NULL,NULL
589,1,2015-07-15,0,NULL,585,NULL,NULL
591,1,2015-07-15,0,NULL,587,NULL,NULL
592,1,2016-06-09,0,NULL,588,NULL,6
593,1,2015-07-15,0,NULL,589,NULL,NULL
594,1,2015-07-15,0,NULL,590,NULL,NULL
595,1,2015-07-15,0,NULL,591,NULL,NULL
596,1,2015-07-15,0,NULL,592,NULL,NULL
597,1,2017-05-20,0,NULL,593,NULL,NULL
598,1,2017-05-20,0,NULL,594,NULL,NULL
599,1,2016-07-26,0,NULL,595,NULL,NULL
